	gene_name	padj	log2fc
XIST	XIST	1.528259e-224	11.8773306
TSIX	TSIX	1.639099e-177	11.3860613
DDX3Y	DDX3Y	4.805872e-59	-11.5589029
PRKY	PRKY	1.463392e-47	-8.6132757
KDM5D	KDM5D	1.630632e-47	-11.1794047
RPS4Y1	RPS4Y1	5.285448e-31	-12.7186483
UTY	UTY	1.159047e-25	-11.5613421
USP9Y	USP9Y	2.203469e-24	-11.2762888
EIF1AY	EIF1AY	2.363744e-24	-11.2732240
TXLNG2P	TXLNG2P	7.199441e-24	-10.8971664
ZFY	ZFY	5.278998e-23	-11.2509301
TTTY15	TTTY15	5.278998e-23	-11.1408956
BCORP1	BCORP1	8.087868e-16	-9.4553594
LINC00278	LINC00278	8.187643e-13	-8.7191888
RP11-424G14.1	RP11-424G14.1	8.668416e-12	-8.3758985
TMSB4Y	TMSB4Y	1.027967e-11	-8.2644517
LTF	LTF	6.871198e-08	-4.4659025
RN7SKP282	RN7SKP282	5.570802e-06	-6.4329644
CEACAM8	CEACAM8	1.287224e-05	-3.9829036
ZNF839P1	ZNF839P1	1.931498e-05	-6.6812722
ABCA13	ABCA13	4.083145e-05	-7.7638221
ZFY-AS1	ZFY-AS1	1.017314e-04	-6.0425129
TTTY14	TTTY14	1.314341e-04	-6.0516935
IGKV1-27	IGKV1-27	1.506596e-04	1.5870128
DEFA4	DEFA4	2.461944e-04	-5.4039104
CEACAM6	CEACAM6	4.044128e-04	-5.3732384
DEFA3	DEFA3	5.005763e-04	-3.9498757
BPI	BPI	7.206241e-04	-2.3753730
IGLV6-57	IGLV6-57	1.262616e-03	2.4824939
RP6-99M1.2	RP6-99M1.2	1.891357e-03	-3.1912936
KALP	KALP	1.983188e-03	-6.1436545
IGHG3	IGHG3	3.328356e-03	1.4943035
CAMP	CAMP	5.125456e-03	-3.0702836
IGHV1-46	IGHV1-46	5.125456e-03	1.4071502
CRISP3	CRISP3	5.890955e-03	-4.6424481
KDM5C	KDM5C	5.890955e-03	0.8721505
MPO	MPO	7.539222e-03	-1.8598009
PRKX	PRKX	8.038626e-03	0.5851942
KIF9-AS1	KIF9-AS1	1.099459e-02	-2.8052352
ADAM22	ADAM22	1.203161e-02	-1.4608728
ARHGAP31-AS1	ARHGAP31-AS1	1.427306e-02	-5.1972265
IGKV3-15	IGKV3-15	1.475119e-02	1.3786152
CELSR2	CELSR2	1.482426e-02	-1.7340938
IGKV3D-11	IGKV3D-11	1.482426e-02	2.6896166
CDY4P	CDY4P	1.482426e-02	-5.7464017
AC084018.1	AC084018.1	1.703376e-02	0.7182809
LCN2	LCN2	1.802936e-02	-3.4126244
IGLV3-1	IGLV3-1	1.878760e-02	1.7973185
CTD-2308N23.2	CTD-2308N23.2	2.142593e-02	-2.5156323
INHBA	INHBA	2.597122e-02	-5.7181078
FBN1	FBN1	3.194080e-02	-5.8768891
IGLV1-47	IGLV1-47	4.004932e-02	1.8436007
SLC1A2	SLC1A2	4.117134e-02	-5.9664849
GSTT1	GSTT1	4.117134e-02	-8.3284534
CEACAM19	CEACAM19	4.190564e-02	-2.6957125
IFT81	IFT81	4.482654e-02	1.3437682
MMP8	MMP8	4.527907e-02	-3.4708386
YTHDF3-AS1	YTHDF3-AS1	4.537132e-02	-5.4199977
IGLV1-40	IGLV1-40	4.848961e-02	1.3649485
			
Female = upregulated
from PBMC_example$bulk_DE_cors # 59 sex-specific DEGs in bulk PBMC (up-regulated = female-biased)
https://cran.r-project.org/web/packages/scMappR/vignettes/scMappR_Vignette.html
